Skills,Position
".net,sql,java,javascript,html,c,python,php4/5,html5,c++,leadership d'équipe,symfony,j2ee,uml,maven,informatique décisionnelle,.net framework,business intelligence,c#,xml,microsoft sql server,mysql,asp.net,marketing numérique,computer ethics,artificial intelligence (ai),generative ai,responsible ai,governance, risk management, and compliance (grc),eu law,scrum,risk management framework (rmf),nist,mlops,machine learning,python (programming language),data science,recommender systems",Manager / Owner
"3d math,android development,ios development,unity3d,game development,mobile applications,agile project management,software development,unit testing,applications mobiles,programmation web,développement de logiciel,développement de jeux,game design,mobile games,restful webservices,c,c++,c#,html5,sql,java,javascript,windows,xcode,unity,android studio,mobile game development,game engines,augmented reality (ar),vuforia augmented reality sdk,gameplay,gameplay programming,debugging,gaming industry,optimization,game technology",Software Engineer
"3dcom (enovia),pdm, conception des produits et des outillages,rédaction des documents techniques,3dvia composer ,support technique,ingénierie du véhicule,gestion du bom,gd&t,rfq,rfi,développement de produits,tolérance géométrique,routage électrique ,smarteam,structures composites,aéronautique,catia v5,conception de tôle,transport ferroviaire,batterie,conception de circuit imprimé,jira service desk,3dexperience,catia v6,modélisation des informations de construction (bim),cao 3d,dessin cao 2d,conception paramétrique,gestion cycle de vie produit,conception mécanique,ptc creo,modélisation 3d,conception de produit,ingénierie,gestion de projet,design,mécanique,management,planification de projets,conception assistée par ordinateur (cad),génie mécanique,solidworks,catia,Électromécanique,conception de machines,ingénierie de la conception,conception automobile,formation,design for manufacturing,schémas techniques,estimation de projet,modélisation de solides,conception de produits mécaniques,creo",Consultant en conception mécanique
"5g,intelligent networks,charging systems,consulting,linux,network administration,system administration,network engineering,core networking,computer networking,software defined networking,organization skills,identity & access management (iam),python,microsoft office,tutoring",Project Delivery Consultant
"abap,git,dbt,javascript,postgresql,python (programming language),snowflake,pl/sql,microsoft sql server,transact-sql (t-sql),amazon web services (aws),microsoft azure,sap s/4hana,oracle database,ibm db2,it prod,dell boomi,sap fico,sap erp,sap business warehouse (sap bw),sap netweaver,sap hana,sap business one,java,gestion de projet,mysql,sql,c,php,linux,xml,jquery,c#,html5,wordpress,feuilles de style en cascade (css),android studio,framework symfony,compétences mathématiques,python 3,boomi",Data Engineer - Product Lead Associate
"abap,sap business warehouse (sap bw),cybersécurité,python (programming language),scripting,spring boot,siem,log analysis,virtualization,elastic stack (elk),zabbix,snort,misp,network security,sap hana,sap erp,sap basis,linux,mysql,java,analyse de données",SAP Basis/BW Administrator
"accords de niveau de service (sla),réseautage,dépannage,python (langage de programmation),illumio,microsegmentation,ibm cloud,git,red hat linux,kubernetes,splunk,dynatrace,script shell,bash,yaml,pare-feux,ansible,terraform,java,php,c#,oracle,sql,windev,c++,vmware,uml,ccna,vlan,mpls vpn,ldap,bgp,acls,nat,pki,ssl certificates,radius,openstack,nmap,nessus,wireshark",Ingénieur sécurité
"adaptation,ingénierie de test,capacité d’analyse,scénarios de test,smoke test,langage gherkin,automatisation des tests,cypress,test selenium,test api,soapui,tests fonctionnels,test de performance,tests de régression,angularjs,planification des tests,analyse de test,test plan,cas de test,cucumber,java,behavior driven development,xpath,locator,préparation des données,maintenance,débogage,déclaration de bugs,suivi des bugs,jenkins,tests manuels,intégration continue et livraison continue (ci/cd),jira,zephyr,veracode,scrum,bdd,jmeter,bitbucket,gitlab,nrt,bugs,apache tomcate,analyse test,data preparation",Analyst Developer
"administration réseau,administration système linux,infrastructure de télécommunication,java,python,javascript,php,ingénierie des réseaux,multiprotocol label switching (mpls),jee,réseau privé virtuel (vpn),services web,symfony,sdn,protocoles de routage,transmission,cisco technologies",Network Security Engineer
"administration réseau,automatisation ,configuration système,linux,serveur windows,amazon web services,terraform,ansible",Consultant Cloud SysOps
"administration réseau,protocoles de routage,windows server,active directory,routeurs cisco,sécurité réseau,linux,base de données,uml,html,programmation orientée objet,squid,sql,mysql,microsoft office,javascript,gestion de projet,java,c++,c,multiprotocol label switching (mpls),réseau privé virtuel (vpn),acl,pfsense,ccproxy,vmware,virtualbox,bacula,bind,apache server,nagios,pstviewer,ospf,rip,eigrp,ipv6,vba,asterisk,microsoft exchange,microsoft outlook,ace project,redmine ,mfile,scrum,zabbix",Ingénieur test et validation senior
"administration réseau,routeurs cisco,cisco technologies,linux,sécurité réseau,vpn,firewalls,sql,tcp/ip,javascript,microsoft sql server,css,xml,mysql,uml,jquery,lpic,dns,windows server,fortinet,wireshark,vmware esx,vmware vsphere,cisco call manager,cisco asa,produits sans fil cisco,nagios,zabbix,troubleshooting,suite des protocoles internet (tcp/ip),check point,palo alto networks",Ingénieur sécurité réseau
"administration système linux,devops,virtualisation,administration réseau,gestion des infrastructures informatiques",IT system Engineer
"administration système, docker,kubernetes,devops,windows server,microsoft sql server,sap netweaver,vmware vsphere,windows powershell,",Ingénieur production
"administration système,java,javascript,sql,pl/sql,mysql,php,html,bases de données,c (langage de programmation),langage de modélisation unifié (uml),système d’exploitation,scrum,c++,linux,marketing",Is administrator
"adobe xd,c++,c#,stm32,python (programming language),sql,html5,cascading style sheets (css),angular",Software Designer
"agile environment,resolving issues,problem solving,java development,apache kafka,redis,microservices,apache,continuous integration (ci),object oriented design,git,spring boot,angular,java",Full-stack Developer
"agile methodologies,angular,git,docker,scrum,rest apis,typescript,spring boot,javasript,sql,java,spring framework,javascript,react.js,node.js,mongodb,express.js,community management,teamwork,marketing,customer service,content creation,pitching,copywriting,collaboration,social entrepreneurship,leadership,pr,management,project management,networking,marketing btob,impact measure,teaching,relations publiques,analytical skills,negotiation,strategic planning,start-up,technologies de l’information,sustainability,c++,python,c,communication,project development,adaptability,design thinking",Full Stack Developer
"agile,spring boot,angular cli,postegresql,jenkins,gitlab",Software Programmer
"algorithms,french,version management,design patterns,websphere mq,software configuration management,java api,requirements analysis,architecture,english,html,communication,code review,teamwork,scrum,computer science,problem solving,microservices,databases,software development,project management,continuous delivery (cd),xml,eclipse,gitlab,java development,rest apis,maven,apache,git,hibernate,agile environment,linux,red hat linux,mysql,postgresql,java,oracle database,sql,logiciel,microsoft office,programmation orientée objet,création de sites web,développement de bases de données",Software Developer
"alm octane,méthodes agiles,gherkin,pv de recette,stratégie de test,api swagger,selenium,api postman,soapui,jira,xray,jee,java,maven,hibernate,junit,spring framework,.net,telerik,c#,pl/sql,oracle,microsoft sql server,mysql,soap,rest,scrum,html,css,uml,business intelligence,services web restful,react js,hp uft,hp alm,vbscript,sap mii,sap ui 5,zebra designer,javascript",QA Test Lead
"alteryx,data,spotfire,css,ironpython,visualisation de données,analyse prédictive,outils de business intelligence,python (langage de programmation),sap bi,informatique décisionnelle,asp.net core,react.js,git,figma (logiciel),ingénierie,java,php,adobe photoshop,java se,adobe illustrator,after effects,symfony,adobe premiere pro,mysql,framework symfony,netbeans,microsoft power bi,visual studio,sql,javascript,réseaux sociaux,analyse de données,applications php,phpmyadmin,outils uml,langage de modélisation unifié (uml),.net framework,microsoft visual studio c++,big data,adobe creative suite,microsoft office,html,microsoft sql server,marketing,design graphique,montage vidéo,suite adobe,gestion de projet,gestion d’équipe",Consultant en intelligence décisionnelle
"amazon web services (aws),bedrock,aws sagemaker,aws iot,cloud computing,python (programming language),test automation,flutter,django,c#,dart,c++,ecu,ride ide,bug tracking,selenium testing,test execution,test planning,ticketing systems,canoe,cna,automotive electronics,robot framework,jira,test bench,testing,hmi configuration,software testing,automated software testing,istqb,unity,it operations,google cloud platform (gcp),problem solving,android development,cloud development,penetration testing,devops,front-end development,raspberry pi,firebase,tkinter,android sdk,blender,mobile application development,mobile game development,international relations,professional communication,intercultural communication,growth strategies,leadership,strategy execution",Automotive embedded software tester
"amazon web services (aws),django rest framework,python (programming language) ,angular,spring boot,java,mysql,github,git,object-oriented programming (oop),linux system administration,scrum,user experience (ux),unified modeling language (uml),microsoft visual studio code,intellij idea,framework symfony (php)",Full-stack Developer
"amazon web services,github,gitlab ci,docker,jenkins,kubernetes,terraform,ansible,nexus,maven,gitlab,git,intégration continue et livraison continue (ci/cd)",Ingénieur DevOps
"amazon web services,gitlab,postgresql,typescript,niveau élevé de précision,curiosité intellectuelle,docker,framework django rest,angular cli,unified process,sso,project management body of knowledge (pmbok),exploration des données,angular,spring boot,leadership d’équipe,gestion du changement,développement de leadership,collecte de fonds,communication stratégique,marketing,slack,google ads,commutation de réseaux locaux,produits cisco systems,routage,référencement des sites,stratégie corporate,dashboard monitoring device,data mining ,framework spring,framework symfony,.net framework,c#,sécurité réseau,administration réseau,scrum,langage de modélisation unifié (uml),test utilisateur,benchmarking,rédaction seo,python (langage de programmation),react.js,django,mysql,c (langage de programmation),github,html css js,qt creator,php,c++,java,intelligence émotionnelle,compétences professionnelles techniques",End of study engineering Intern
"amazon web services,kubernetes,devops,pipelines,développement de logiciels,terraform,grafana,prometheus.io,elastic stack (elk),github,sql,python (langage de programmation),nosql,travail d’équipe,cloud computing,elasticsearch,informatique décisionnelle,c#,vertica,talend,tableau,c,gitlab,linux,ceph,rook,fluentd,kibana,amazon rds,amazon s3,amazon ebs,amazon elastic compute cloud,mongodb,html5,j2ee web services,feuilles de style en cascade (css),arabe,français,oracle database,systèmes de recommandation,android studio,postgresql,mysql,docker,unix,langage de modélisation unifié (uml),intégration continue et livraison continue (ci/cd)",Ingénieur DevOps
"amazon web services,terraform,docker,pipelines,devops,ios,android,objective-c,java,swift,c#,html5,javascript,css,php,arduino,sql,java enterprise edition,linux,uml,unity,laravel,angular,git,xcode,ansible,windows phone,tizen,android studio,kubernetes,typescript",Chief Technical Officer
"amdec processus,catia,gestion de projet,microsoft excel,solidworks,microsoft word,arduino,gmao,c++,gestion d'équipe,planification stratégique,microsoft office,robotique,conception de produits mécaniques,altium,altium designer,sap erp,project management,management,matlab,génie mécanique,leadership,amélioration continue,lean six sigma,gestion de portefeuille de projets",coordinateur liaison
"analyse & conception,merise,uml,java,j2ee,html,javascript,vb.net,cobol,sql,pl/sql,oracle,mysql,tomcat,jboss application server,websphere application server,hudson,jenkins,maven,sonar,red hat linux,microsoft windows,sécurité de l'information,finance",Project Manager
"analyse de données,extraire, transformer, charger (etl),big data,gestion de projet,services web,asp.net mvc,javascript,github,linux,c++,c#,c,javafx,php,mysql,jquery,uml,html,asp.net,asp,java ee,sql server reporting services (ssrs),sql server integration services (ssis),gestion d’équipe,power bi",Consultant Talend
"analyse de données,informatique décisionnelle,consulting,big data,planification stratégique,gestion de projet,bi,technologies de l’information,data warehouse,conseil,script shell,sql server integration services (ssis),sql server reporting services (ssrs),hadoop,sql server 2012,framework spring,java enterprise edition,mongodb,sap bw,unix,base de données,management,gestion d’équipe,gestion du temps,efficacité organisationnelle,leadership,travail d’équipe,résolution de problèmes,langages de programmation,ssas,pig,talend,bd,modélisation et méthodologies,méthodologie agile scrum",Développeur Salesforce
"analyse de données,talend,microsoft bi suite,postgresql,python,mongodb,r,powerbi,microsoft sql server,sharepoint,.net framework,jee,tableau software,français,arabe,apprentissage automatique,python (langage de programmation),sql,bases de données,services d'analyse,science des données,pl/sql,javascript,exploration des données,sql server integration services (ssis),sql server reporting services (ssrs),outils d’etl,qlikview,extract, transform, load (etl),visualisation de données",Data scientist - Insights & Data
"analyse de données,visualisation de données,microsoft excel,microsoft powerpoint,sql,pl/sql,uml,r,python,java,html,javascript,jquery,github,c,feuilles de style en cascade (css),oracle,machine learning,travail d’équipe,communication,linux,mongodb",Consultante Technique Salesforce
"analyse de processus,lean management,5s,ishikawa,autocad,normes iso,iso 9001,amélioration des processus,leadership,communication,microsoft excel,amélioration continue,cartographie des processus,microsoft office,résolution de problèmes,assurance qualité,Électromécanique,génie industriel,sens de l’organisation,secteur de la musique,chant,joueur de guitare,c,python,matlab,android studio,altium designer,arabe,français,gestion de la chaîne logistique,optimisation de la chaîne logistique,gestion des approvisionnements,système qualité,quality management,produits sap,sap erp,déploiement sap,travail d’équipe,leadership d’équipe,gestion d’équipe",Technicien Amélioration Continue
"analyse des données,bases de données,django,nlp,ocr,détection d’objets,deep learning,science des données,ingénierie,java,langage de modélisation unifié (uml),framework symfony,python (langage de programmation),sql,microsoft power bi,php,gestion de projet,gestion d’équipe,machine learning,big data,.net framework,administration de bases de données,adobe photoshop,adobe illustrator,adobe lightroom",Data scientist & Web developer
"analyse des données,cucumber,scrum,jira,tests d’acceptation,automatisation de l’assurance qualité,tests manuels,api postman,ingénierie en assurance qualité,test de la boîte noire,planification des tests,tests d’api,tests de régression,suivi des bugs,automatisation des tests,cypress.io,communication,compétences analytiques,travail d’équipe,microsoft office,gestion des affaires,javascript,sql",Consultante QA
"analyse des données,indicateurs,analyse des risques,formation à la gestion de projet,construction,gestion des risques,respect des délais,gestion des délais,coordination de plusieurs projets,contrôle de projet,clickup,coordination d’équipe,delivery,autonomie,devis,support technique,résolution de problèmes,coordination de réunions,gestion des coûts,travaux publics,préparation des appels d’offres,compétences administratives,béton armé,béton précontraint,structures en acier,charpente métallique,routes,dessin technique,esprit ing,gestion du stress,résistance des matériaux,ouvrages,ouvrages hydrauliques,ingénierie des ponts et chaussées,conception de ponts,méthode des éléments finis,conception,ingénierie du bâtiment,Écoconstruction,parler en public,techniques de présentation,langues étrangères,ingénierie,mécanique des fluides,microsoft office,mécanique des sols,géotechnique,hydraulique,qgis,arcgis,saisie de données,conception assistée par ordinateur (cao),leadership,gestion de carrière,documentation technique,Évaluation de la performance,diriger des réunions,gestion d’équipes de projet,services clients,communication orale,tableau de bord,coordination de projet,travail d’équipe,leadership d’équipe,gestion d’équipe,gestion des risques opérationnels,recrutement technique,relation client,telecom,produits arcgis,gestion de projet,relations publiques,réseaux à fibre optique,télécommunications,microsoft excel,autocad,géofibre,powerpoint,react.js,javascript,html5,revit,redux,méthodes agiles,node.js,développement web,tekla,tenue des livres de comptes,twitter bootstrap,génie civil,fibre optique,ipon,netdesigner,arcgis netdesigner,communication interpersonnelle",Project Coordinator
"analyse des données,visualisation de données,administration de bases de données,microsoft sql server,sql server analysis services (ssas),sql server integration services (ssis),sql server reporting services (ssrs),microsoft power bi,big data,.net framework,javascript,java,linux,c#,c++,développement web",Consultante informatique décisionnelle
"analyse financière,méthodologies de test,méthodes agiles,analyse des affaires,aide administrative,gestion de la performance,gestion d’équipe,planification des affaires,organisation d'équipe,développement de logiciels,angularjs,springboot ,mysql,analyse de données,cloud computing,résolution de problèmes,bases de données,entraîneur sportif,travail d’équipe,business intelligence",Guidewire Consultant Technique
"analyse fonctionnelle,php,uml,java,javascript,html5,microsoft azure,git,node.js,mysql,github,phpmyadmin,technologies microsoft,spring boot,angularjs,java se",Analyste fonctionnel
"analytical skills,programming,technical documentation,json,organization skills,teamwork,financial services,cascading style sheets (css),application servers,scrum,tomcat,financial markets,problem solving,java software development,troubleshooting,rest apis,unit testing,application programming,agile environment,microservices,hibernate,java,jee,.net framework,framework spring,c#,html,php,mysql,nosql,postgresql,oracle database,mongodb,jenkins,junit,sélénium,développement de logiciels,git,angular",Java Software Developer
"android developer,kotlin,java,ios developer,android data binding,swift,android,ios,flutter,git,firebase,javascript,php,html,c++,mysql,feuilles de style en cascade (css),linux,xml,sql,c#,ubuntu,amazon web services (aws),laravel,controller area network (can),jakarta ee,c (programming language),dagger,retrofit,model-view-viewmodel (mvvm),local interconnect network (lin),automotive infotainment,xml-rpc,tizen,symfony framework,blender,unity,jenkins,jira,gitlab,redmine,rxjava,coroutines,react native",Mobile Developer
"android development,business intelligence,etl,mysql,linux,java,sql,javascript,xml,uml,j2ee application development,visual c#,eclipse,maven,sharepoint,tomcat,.net,oracle sql,microsoft sql server,servlets,jpa,wcf,c#,asp.net mvc,asp.net,.net framework,talend,dev c++,jasper reports,ireport,j2ee web services,biztalk,windows phone,ext js,microsoft power automate,microsoft powerapps",Programmeur analyste
"android development,ios development,java,windows phone,web development,web design,symfony,teamwork,windows server,javascript,c#,tizen,php,unity3d,graphic design,adobe illustrator,adobe photoshop,maya,3d modeling,blender,sql,html5,java enterprise edition,javaserver faces (jsf),mobile application development,swing,github",Technical Lead
"android development,java,software development,javascript,kotlin,android,raspberry pi,firebase,beacon,internet of things (iot),mqtt,android sdk,android studio,google analytics",Android Engineer
"android studio,livraison de projet,framework ionic,framework symfony,express.js,mongodb,nodejs,feuilles de style en cascade (css),adobe xd,nx,react.js,angular,node.js,spring framework,spring boot,sass,gitlab,mern stack,drawing,web development,scrum,architecture orientée services (soa),mysql,java,git,php,html5,cascading style sheets (css),javascript,bootstrap,c#,.net framework,adobe photoshop,adobe illustrator,django,python (programming language),postgresql,spring mvc,devops,agile methodologies,html,laravel,jenkins,design d’expérience utilisateur (ux),docker,nexus",Développeur Full Stack
"android,html 5,css3,jquery,javascript,phonegap,php,java,.net,ios,magento,joomla,html5,css,mysql,microsoft sql server,c#,programmation web,json,ajax",Senior Manager CRM chez ODDO BHF
"android,javafx,flask,quarkus,aws lambda,mongodb,postgresql,services web,terraform,docker,api swagger,microservices,kubernetes,gestion de projet,modèle-vue-vue modèle,cmake,architecture mvc,visual studio,mapforce,xml,kibana,elastic stack (elk),qlikview development,scaled agile framework,sonarqube,bitbucket,kabana,interactions homme-machine,unreal engine 4,tensorflow,algorithmes d’apprentissage automatique,qt,bases de données,ingénierie,mysql,c,scrum,html,sql,javascript,linux,php,c++,adobe photoshop,uml,adobe illustrator,adobe after effect,adobe premiere pro,github,leadership,qt creator,framework symfony,design graphique,marketing,photographie,git,feuilles de style en cascade (css),python (langage de programmation),programmation,graphiques,html5,java,pl/sql,symfony",consultant Backend DevOps
"android,kotlin,java,applications mobiles,marketing,réseaux sociaux,ios,android automotive,scrum",Android Automotive Developer
"android,kotlin,java,ios development,shell scripting,object-oriented programming (oop),software development,mobile applications,scrum,agile methodologies,git,javascript,swift,xcode,linux,html5,mysql,json,mongodb,visual studio,matlab,php,c,netbeans,c#,postgresql,sqlite,unity,node.js,sequelize.js,unified modeling language (uml),ios,sql,react native,react.js,github,ionic framework,rest apis,figma (software),nosql,representational state transfer (rest),teamwork,symfony,symfony framework,express.js,gitlab,android studio,mobile application development,model-view-controller (mvc),restful architecture",Software Engineer
"android,kotlin,java,ios,c#,c++,ionic framework,c,javascript,php,node.js,.net framework,asp.net,html,java enterprise edition,unity,symfony,tizen",Full Stack Developer
"adobe photoshop,analyse de données,adobe illustrator,méthodes agiles,php,phpmyadmin,mysql,frameworks php,java,javascript,laravel,vmware,android studio,sql,pl/sql,oracle sql developer,marketing digital,wordpress",Consultant SAP Basis
"analyse des données,compétences analytiques,data quality,git,continuous integration and continuous delivery (ci/cd),azure logic apps,mulesoft anypoint platform,apache spark,azure cosmos db,azure sql,sql server analysis services (ssas),azure data lake,data management,extract, transform, load (etl),microsoft business intelligence (msbi),agile methodologies,azure devops services,gestion d’équipe,microsoft sql server,sql,data warehouse,big data,database administration,analyse de données,finance d'entreprise,project management,master data management,ssis,ssrs,c#,asp.net,java enterprise edition,c++,java,css,oracle database,mysql,microsoft office,microsoft excel,microsoft azure,management,power bi,talend,microsoft bi suite,master data services,azure data factory,conception de bases de données,sql azure,outils d’etl,gestion de projet,gestion de projet agile,leadership d’équipe",Data Team Lead
"feuilles de style en cascade (css),html,excel,java,microsoft word",Consultante junior
"développement web,développement full-stack",Ingénieur informatique
"gestion de projet,présentations,amélioration continue,travail d’équipe",sofware developement engineer
"ingénierie,communication,formation",Stagaire bi
"recherche,communication,mysql,php,adobe photoshop,conception web,java,javascript,html,feuilles de style en cascade (css),développement android,jee",Software Designer
"vérification et validation,intégration continue,jenkins,gestion de la configuration,preuve,virtualisation,internet protocol security,vmware,yocto,python (langage de programmation),c (langage de programmation),c++,c,python,réseaux sociaux,informatique,java,asp.net,java ee,css,html5,microsoft excel,microsoft word,microsoft powerpoint,linux,git,android,systèmes embarqués,parler en public,internet des objets,stm,javascript,Électronique,vhdl,arduino,raspberry pi,stm32mp1,stm32,sql,pl/sql,microcontrôleurs,microsoft sql server,microprocesseur,domotique,.net framework,firmware,gestion de projet,embedded c,capteurs,gps",Embedded Software Engineer
"angular ,html,microsoft visual studio code,microsoft excel,intellij idea,documentation,netbeans,développement d’applications web,html5,feuilles de style en cascade (css),framework qt,développement d’applications de bureau,javafx,développement de logiciels java,développement java,développement back-end,angular,.net framework,framework symfony,php,adobe photoshop,mysql,oracle database,c++,nosql,qt,business analysis planning & monitoring,kpi dashboards,développement de logiciels,react native,angularjs,javascript,framework spring,sql,java,développement front-end,langage de modélisation unifié (uml),modèle mvc de spring,spring boot,react.js,postgresql,microsoft power bi,apprentissage supervisé,développement full-stack,business analytics,design graphique,développement web,programmation orientée objet (oop),compétences analytiques,ingénierie,résolution de problèmes,leadership,gestion de projet,communication,design",Analyst Developer
"angular ,oracle sql,maven,project management,spring boot,microsoft sql server,scrum,shell scripting,mysql,git,jira,python (programming language),linux,javascript,jee multi-tiers architectutre,public speaking,english,french,german",Software Developer
"angular cli,java,spring boot,angular,langage de modélisation unifié (uml),formation,Évènements spéciaux,microsoft excel,service client,ressources humaines (rh),gestion de projet,communication,résolution de problèmes,présentations,leadership,stratégie,organisations à but non lucratif",Software Programmer
"angular cli,mongodb,json,software documentation,events,webpack,skill development,passionate about work,defining requirements,learning,rest apis,typescript,teamwork,programming,team spirit,project analysis,api development,html5,mysql,english,cascading style sheets (css),task force,maven,jenkins,gitlab,git,test cases,microservices,ngrx,spring boot,docker,kubernetes,agile methodologies,html,javascript,java web services,web development,restful webservices,développement de logiciel,développement web,conception de logiciels,intelligence artificielle,analyse de systèmes,gestion de projet agile,java,angular",Software Developer
"angular cli,tailwind css,bootstrap (framework),raspberry pi,python (programming language),node.js,android development,firebase,embedded c,c (programming language),html5,javascript,easyeda,autodesk fusion 360,arduino ide,sqlite,mysql,android studio ,java,php,flutter",Junior Developer
"angular material,java,git,ingénierie,développement de logiciels,php,framework symfony,résolution de problèmes,c++,c#,c,javascript,angular,react.js,node.js,python (langage de programmation),.net framework,asp.net mvc,html5,css,gestion financière,architecture mvc,programmation orientée objet (poo),mysql,mongodb,nosql,sql,pl/sql,microsoft sql server,oracle database,leadership,asp.net,gestion de projet,html",Software Engineer
"angular,.net framework,transact-sql (t-sql),api web asp.net,c#,microsoft sql server,docker,express.js,git,interpersonal skills,interpersonal communication,team spirit,react.js,gitlab,angular 11,typescript,jenkins,langage de modélisation unifié (uml),scrum,feuilles de style en cascade (css),node.js,agile methodologies,programmation orientée objet (oop),framework symfony,javascript,html,asp.net core,nosql,python,microsoft azure,java,base de données,mongodb,linux,c (langage de programmation),php,outils uml",Fullstack Engineer
